id;name;created;updated;language
1;Outdoors Games withdrawal;2020-02-24T02:10:30;2020-02-23T13:01:26;KAZAKH
2;FTP Bulgarian Lev envisioneer;2020-02-23T20:53:32;2020-02-24T04:30:41;RUSSIAN
3;Credit Card Account calculating;2020-02-23T15:08:45;2020-02-23T23:48:52;ENGLISH
4;Pants Lodge Won;2020-02-23T22:38:36;2020-02-23T13:19:43;RUSSIAN
5;Slovenia CFA Franc BCEAO;2020-02-24T06:06:56;2020-02-23T22:26:27;ENGLISH
6;visionary interfaces Mill;2020-02-23T19:03:45;2020-02-23T20:30:50;RUSSIAN
7;Up-sized SDD Orchestrator;2020-02-23T13:01:30;2020-02-24T07:45:33;KAZAKH
8;Balboa US Dollar monitor Savings Account;2020-02-23T12:31:49;2020-02-23T21:13:55;KAZAKH
9;Buckinghamshire;2020-02-23T17:00:00;2020-02-24T09:55:11;KAZAKH
10;Dynamic;2020-02-24T02:31:26;2020-02-24T04:26:18;ENGLISH
