id;value;created;updated
1;proactive;2020-02-24T10:13:37;2020-02-24T09:09:04
2;Cayman Islands Dollar Customer Alley;2020-02-24T02:45:09;2020-02-23T18:57:14
3;open-source;2020-02-24T05:46:21;2020-02-24T02:01:02
4;metrics;2020-02-23T22:13:16;2020-02-23T17:24:03
5;deposit Seamless;2020-02-24T10:52:03;2020-02-23T20:01:19
6;Steel;2020-02-23T20:27:37;2020-02-24T11:10:43
7;Alaska Open-architected THX;2020-02-24T00:53:27;2020-02-24T12:16:24
8;intangible Hills leverage;2020-02-24T10:09:55;2020-02-24T13:17:03
9;synthesize e-business;2020-02-24T09:06:35;2020-02-23T23:14:26
10;JSON Sports;2020-02-24T13:52:49;2020-02-23T20:26:38
